"","studyid","delivery_ind","Component 1","Component 2","intercept"
"1","1",TRUE,0.026741473196959,-0.186383252571451,-0.163655942529354
"2","10",TRUE,-0.183014100744083,-0.0589738355917422,-0.161231252657528
"3","11",FALSE,-0.0892583040920637,-0.169030350488598,-0.162371622690634
"4","12",FALSE,-0.0773707138748364,-0.0772143827139163,-0.159000856392551
"5","14",TRUE,-0.212713981634593,-0.0778570883281885,-0.155896476520972
"6","16",TRUE,-0.17731866187977,-0.0149960500120334,-0.149914165029447
"7","17",TRUE,-0.161500948692137,0.255100851211573,-0.107287716300206
"8","18",TRUE,-0.227988168594842,0.000300944255818852,-0.221285619370952
"9","2",FALSE,0.010235826792106,-0.152980674975139,-0.132367584570018
"10","20",FALSE,-0.200765788652419,-0.044003210078434,-0.15635349444149
"11","21",FALSE,-0.101463599105454,-0.0290150069263576,-0.165964531430642
"12","22",TRUE,-0.0205510068800204,-0.20540583853842,-0.136144627605537
"13","24",TRUE,-0.170600650804058,0.19030568541162,-0.13311060962551
"14","25",FALSE,0.0129528350348068,-0.319025093496543,-0.138404769004576
"15","27",TRUE,-0.186951109067193,-0.187341485688328,-0.183567421708723
"16","30",TRUE,-0.129244501926485,0.00708106969337672,-0.151172438562636
"17","31",TRUE,-0.100927867292997,0.0515360767962646,-0.151391938165079
"18","32",TRUE,-0.190734791362384,0.0145757049691626,-0.155267617749646
"19","33",TRUE,-0.0947547743317454,0.140696135134851,-0.190829485905498
"20","34",FALSE,0.0362359083601355,-0.329154182903937,-0.156418486024849
"21","35",TRUE,-0.0591859238928098,0.00696835934620879,-0.141291957149883
"22","36",FALSE,0.0812958125258981,-0.30679933173164,-0.158294957230446
"23","37",FALSE,-0.0730589062836246,-0.137844309806827,-0.138164781454877
"24","38",TRUE,-0.117739947329775,0.128474054831207,-0.145147465841907
"25","4",FALSE,-0.132525013605409,-0.0501978358529195,-0.133221858320969
"26","41",TRUE,-0.121844841622661,0.082818923495007,-0.137938649028544
"27","42",TRUE,-0.207454801151638,0.0721701739450213,-0.173756775824842
"28","43",TRUE,-0.211696844420363,-0.0446718826848027,-0.203673342366963
"29","44",TRUE,-0.187776865722582,0.211636476965346,-0.167949701122645
"30","45",TRUE,-0.0172038487562078,0.0679456942782919,-0.197092723823443
"31","46",FALSE,-0.152395249084902,-0.373980232300461,-0.123363224159407
"32","47",FALSE,-0.262222758273945,-0.0441739458610106,-0.11760755462298
"33","49",TRUE,-0.154170021637382,-0.0405685373768729,-0.133633314505796
"34","5",FALSE,-0.147064679564949,-0.135452674696738,-0.170665228427324
"35","52",TRUE,-0.192997447808814,-0.113944865343262,-0.0871755960272045
"36","53",FALSE,-0.223739392601003,-0.225574313040251,-0.132174215873997
"37","55",FALSE,-0.156149533255996,-0.217023930452773,-0.130608202718085
"38","56",FALSE,-0.165491492825645,-0.0733579999993705,-0.17004197856121
"39","57",FALSE,-0.230197456650989,0.00880449091003755,-0.160965613528582
"40","7",FALSE,-0.15124506506241,0.0510260088026646,-0.127116989515874
"41","8",TRUE,-0.242920208278347,0.0786320136711497,-0.189722329639039
"42","9",TRUE,-0.108202331082741,0.0260593285762606,-0.114531773315676
