"","hostID","time_disc","sample_name","group","genotype","diseased","PC1","PC2","PC3"
"48","sub14",13,"11953.L714.tp12","predisposed, remained healthy","Pax5+/-","no",61.6857883145943,-7.76442825035757,0.374758714017405
"49","sub14",24,"11953.L714.tp20","predisposed, remained healthy","Pax5+/-","no",61.939192169664,-3.03372287182937,0
"50","sub14",32,"11953.L714.tp28","predisposed, remained healthy","Pax5+/-","no",61.0968107623396,-11.1245237543292,1.41388035446962
"51","sub14",40,"11953.L714.tp36","predisposed, remained healthy","Pax5+/-","no",59.8365873301946,-10.9931243363271,0.328719956330464
"52","sub14",49,"11953.L714.tp40","predisposed, remained healthy","Pax5+/-","no",58.2068174996251,-13.1391763851104,0
"53","sub14",58,"11953.L714.tp44","predisposed, remained healthy","Pax5+/-","no",57.9098121242656,-11.0809816934951,0
"54","sub14",67,"11953.L714.tp52","predisposed, remained healthy","Pax5+/-","no",59.8138032328642,-2.39878744988151,0
"55","sub14",75,"11953.L714.tp60","predisposed, remained healthy","Pax5+/-","no",59.2107099429535,-2.32155948426492,0
"56","sub14",83,"11953.L714.tp68","predisposed, remained healthy","Pax5+/-","no",55.5125853563345,-5.05477398277597,0
"57","sub15",0,"11953.L381.tp0","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",52.2077308201084,0,35.9853805506019
"58","sub15",13,"11953.L381.tp12","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",55.0675896691455,-11.3981493009636,0.344660799249025
"59","sub15",21,"11953.L381.tp20","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",49.8696059604164,-21.2238870375672,0
"60","sub15",32,"11953.L381.tp28","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",54.5418028540936,-16.3307559250253,1.30032769028917
"61","sub15",40,"11953.L381.tp36","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",53.4167873724258,-16.1378621102903,0.302319542255395
"62","sub15",48,"11953.L381.tp40","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",55.6670189385088,-12.0821425035397,0
"63","sub16",0,"11953.I329.tp0","predisposed, remained healthy","Pax5+/-","no",52.4392555552606,0,34.3549559490801
"64","sub16",13,"11953.I329.tp12","predisposed, remained healthy","Pax5+/-","no",55.3117969716531,-16.4189229820044,0.32904491753046
"65","sub16",26,"11953.I329.tp20","predisposed, remained healthy","Pax5+/-","no",62.1140892695005,-8.15973301252297,0
"66","sub16",34,"11953.I329.tp28","predisposed, remained healthy","Pax5+/-","no",57.1730891064301,-9.40091643685478,0
"67","sub16",43,"11953.I329.tp36","predisposed, remained healthy","Pax5+/-","no",60.6723833854689,-8.70758733236214,0
"68","sub16",52,"11953.I329.tp40","predisposed, remained healthy","Pax5+/-","no",56.5294981865275,-2.85206450712825,0
"69","sub16",60,"11953.I329.tp44","predisposed, remained healthy","Pax5+/-","no",54.6561562391562,-5.32726920276594,0
"70","sub16",70,"11953.I329.tp52","predisposed, remained healthy","Pax5+/-","no",57.7360439685285,-4.22466146726392,0
"71","sub16",79,"11953.I329.tp60","predisposed, remained healthy","Pax5+/-","no",57.7391721037096,-5.72288586134277,3.38584522471319
"72","sub16",84,"11953.I329.tp68","predisposed, remained healthy","Pax5+/-","no",58.8610911105189,0,0
"73","sub17",0,"11953.L203.tp0","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",55.3428724000065,0,26.2451775050208
"74","sub17",12,"11953.L203.tp12","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",60.389701760159,0,1.72053308060175
"75","sub17",22,"11953.L203.tp20","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",56.8685014855727,-18.058116203469,0
"76","sub17",30,"11953.L203.tp28","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",56.798357940089,-23.6745350932231,0
"77","sub18",0,"11953.L979.tp0","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",58.8274268347109,0,41.4496071303329
"78","sub18",12,"11953.L979.tp12","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",64.1920198176296,0,2.71727711622606
"79","sub18",21,"11953.L979.tp20","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",56.1928386817055,-10.1144355085506,0
"80","sub18",29,"11953.L979.tp28","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",59.8290865681325,-8.37767723276718,9.85997265207999
"81","sub18",38,"11953.L979.tp36","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",61.8359807727635,-2.99292857921675,0.686248097946945
"82","sub18",47,"11953.L979.tp40","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",59.0629791310961,-3.73827529083128,5.57265471096801
"83","sub18",55,"11953.L979.tp44","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",51.5893375769123,-2.08945319350909,0
"84","sub18",65,"11953.L979.tp52","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",57.1424317995607,-2.04421538501234,0
"85","sub18",73,"11953.L979.tp60","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",56.7177621580867,-3.20070591448622,0
"86","sub18",82,"11953.L979.tp68","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",50.5567159124909,0,0
"87","sub19",0,"11953.WT1.tp00","healthy wild type","WT","no",49.418455295262,0,39.1200759825671
"88","sub19",18,"11953.WT1.tp12","healthy wild type","WT","no",52.1972686174618,-0.0746198408450241,6.15867179541566
"89","sub19",25,"11953.WT1.tp20","healthy wild type","WT","no",56.3228081504815,-0.585198683623045,3.46976321082339
"90","sub19",34,"11953.WT1.tp28","healthy wild type","WT","no",53.8795930297052,-0.61851219833449,0
"91","sub19",43,"11953.WT1.tp36","healthy wild type","WT","no",57.1773079965283,-0.572896165954087,0
"92","sub19",51,"11953.WT1.tp44","healthy wild type","WT","no",55.9768799925633,-0.570325813846631,0
"93","sub19",60,"11953.WT1.tp52","healthy wild type","WT","no",51.5076498534433,-0.350495721119799,0
"94","sub19",68,"11953.WT1.tp60","healthy wild type","WT","no",52.6907025445029,-0.534716319178517,0
"95","sub2",0,"11953.L832.tp0","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",63.6836802699205,0,17.3400771523179
"96","sub2",12,"11953.L832.tp12","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",69.4911249039067,0,1.13674888863076
"97","sub2",21,"11953.L832.tp20","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",60.8316046547431,-0.394640854952013,0
"98","sub2",29,"11953.L832.tp28","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",64.7680278546229,-0.326876739967965,4.12483249766903
"99","sub2",4,"11953.L832.tp4","predisposed, developed pB-ALL","Pax5+/-","pB-ALL",18.6776799400788,-0.49161333611666,11.2638438208809
"100","sub20",0,"11953.WT18.tp00","healthy wild type","WT","no",44.4972578654265,0,62.8742514370812
"101","sub20",16,"11953.WT18.tp12","healthy wild type","WT","no",55.6334539383194,-7.01474988009874,2.9136859690155
"102","sub20",26,"11953.WT18.tp20","healthy wild type","WT","no",52.7068246494933,-3.6566367737814,0
"103","sub20",34,"11953.WT18.tp28","healthy wild type","WT","no",48.5141457862786,-4.21285067752729,0
"104","sub20",43,"11953.WT18.tp36","healthy wild type","WT","no",51.4834671130719,-3.90214777880134,0
"105","sub20",52,"11953.WT18.tp44","healthy wild type","WT","no",47.9680276002075,-1.27810112683298,0
"106","sub20",60,"11953.WT18.tp52","healthy wild type","WT","no",46.3784058784716,-2.38731934497988,0
"107","sub20",68,"11953.WT18.tp60","healthy wild type","WT","no",47.4436476054326,-3.64209471309064,0
"108","sub20",8,"11953.WT18.tp08","healthy wild type","WT","no",0.860574652219119,-26.6369413515412,79.0883557562069
"109","sub21",0,"11953.WT15.tp00","healthy wild type","WT","no",46.544547014038,0,49.4929194347883
"110","sub21",16,"11953.WT15.tp12","healthy wild type","WT","no",58.1931120388738,-8.75916975073995,2.29357521762412
"111","sub21",26,"11953.WT15.tp20","healthy wild type","WT","no",55.1318304889321,-4.5659649689318,0
"112","sub21",34,"11953.WT15.tp28","healthy wild type","WT","no",50.746249268313,-5.26049750165318,0
"113","sub21",43,"11953.WT15.tp36","healthy wild type","WT","no",53.8521870884073,-4.87252936615221,0
"114","sub21",52,"11953.WT15.tp44","healthy wild type","WT","no",50.1750045488366,-1.59593783383543,0
"115","sub21",60,"11953.WT15.tp52","healthy wild type","WT","no",48.5122453921794,-2.98099515297468,0
"116","sub21",68,"11953.WT15.tp60","healthy wild type","WT","no",49.6264981803355,-4.54780660544156,0
